brand_name,category,stores_japan,stores_overseas,investment_usd,franchise_fee_usd,royalty_pct,target_markets,website,overseas_franchise_confirmed,expansion_type,notes,japan_regions,overseas_countries,hq_location
Yoshinoya,Fast Food Beef Bowl,1000+,200+,150k-300k,50000,5.0,USA China SE Asia,yoshinoya.com,YES,Single-unit & Master,Actively recruiting globally since 1990s,"Kanto, Kansai, Kyushu, Hokkaido","USA, China, Thailand, Singapore","Tokyo, Japan"
Sushiro,Sushi Conveyor Belt,600+,100+,200k-500k,75000,6.0,SE Asia USA China,akindo-sushiro.co.jp,YES,Single-unit,Rapid SE Asia expansion 2020-2026,"Kanto, Kansai, Chubu","Thailand, Singapore, Taiwan, Hong Kong","Osaka, Japan"
CoCo Ichibanya,Curry,1500+,400+,250k-450k,60000,6.0,USA China SE Asia,ichibanya.co.jp,YES,Single-unit,Most international Japanese restaurant chain,"All Japan regions","USA, China, Thailand, Singapore, Korea","Kanagawa, Japan"
Hidakaya,Fast Food Chinese,450+,100+,100k-250k,40000,5.0,China SE Asia,hidakaya.co.jp,YES,Master Franchise,China-focused expansion,"Kanto, Tohoku, Hokkaido","China, Taiwan","Tokyo, Japan"
Ootoya,Teishoku Set Meals,180+,30+,200k-400k,55000,6.0,USA SE Asia,ootoya.com,YES,Single-unit,Premium positioning slower expansion,"Kanto, Kansai","USA, Thailand, Singapore","Tokyo, Japan"
Kura Sushi,Sushi Conveyor Belt,550+,100+,300k-600k,80000,6.0,USA SE Asia,kurasushi.co.jp,YES,Single-unit,Strong US presence California Texas,"Kansai, Kanto, Kyushu","USA (California, Texas), Thailand","Osaka, Japan"
Ringer Hut,Noodles Champon,500+,100+,200k-400k,50000,5.0,SE Asia China,ringerhut.co.jp,YES,Single-unit,Healthy noodle concept growing,"Kanto, Kansai, Kyushu","China, Thailand, Singapore","Tokyo, Japan"
Tenya,Tempura Fast Food,200+,20+,150k-300k,45000,5.0,SE Asia,tenya.co.jp,PROBABLE,Single-unit,Limited overseas but expanding,"Kanto, Chubu, Kansai","Thailand","Tokyo, Japan"
Matsuya,Fast Food Beef Bowl,1000+,50+,150k-300k,50000,5.0,China SE Asia,matsuyafoods.co.jp,YES,Joint Venture,China-focused,"All Japan regions","China, Taiwan","Tokyo, Japan"
Saizeriya,Italian Family Restaurant,1500+,1000+,200k-400k,60000,5.0,China SE Asia Italy,saizeriya.co.jp,YES,Master Franchise,Huge in China Australia,"All Japan regions","China, Australia, Taiwan, Singapore","Chiba, Japan"
Sukiya,Fast Food Beef Bowl,2000+,150+,150k-300k,50000,5.0,China SE Asia USA,sukiya.co.jp,YES,Single-unit,Largest gyudon chain globally,"All Japan regions","China, Taiwan, Thailand, USA","Tokyo, Japan"
Gusto,Family Restaurant,400+,50+,250k-500k,65000,6.0,SE Asia China,skylark.co.jp,PROBABLE,Master Franchise,Part of Skylark group,"Kanto, Kansai, Chubu","China, Thailand","Tokyo, Japan"
Ippudo,Ramen,100+,80+,300k-600k,80000,6.0,USA Europe SE Asia Australia,ippudo.com,YES,Single-unit,Premium ramen global presence,"Kanto, Kansai, Kyushu","USA, France, Singapore, Australia","Fukuoka, Japan"
Ichiran,Ramen,90+,20+,400k-800k,100000,7.0,USA Europe SE Asia,ichiran.com,YES,Single-unit,Famous tonkotsu selective expansion,"Kanto, Kansai, Kyushu","USA, France, Hong Kong","Fukuoka, Japan"
Afuri,Ramen,50+,15+,250k-500k,70000,6.0,USA SE Asia,afuri.com,YES,Single-unit,Yuzu shio specialty trendy,"Kanto, Kansai","USA, Singapore, Hong Kong","Tokyo, Japan"
Marugame Seimen,Udon,400+,50+,200k-400k,55000,5.0,USA SE Asia Australia,marugame-seimen.com,YES,Single-unit,Self-serve udon growing,"Shikoku, Kanto, Kansai","USA, Thailand, Australia","Kagawa, Japan"
Yayoi Kenko,Teishoku Set Meals,350+,10+,200k-400k,55000,6.0,SE Asia,yayoiken.com,PROBABLE,Single-unit,Healthy meals concept,"Kanto, Kansai","Thailand, Singapore","Tokyo, Japan"
Ohsho,Gyoza Dumplings,500+,400+,150k-300k,45000,5.0,China SE Asia USA,ohsho.co.jp,YES,Master Franchise,Huge in Asia,"Kansai, Kanto, Chubu","China, Taiwan, Thailand, USA","Kyoto, Japan"
Watami,Izakaya Pub Food,400+,50+,200k-400k,55000,6.0,SE Asia China,watami.co.jp,YES,Single-unit,Casual dining pub concept,"Kanto, Kansai, Kyushu","Thailand, Singapore, China","Tokyo, Japan"
Torikizoku,Izakaya Yakitori,500+,10+,150k-300k,45000,5.0,SE Asia,torikizoku.co.jp,PROBABLE,Single-unit,Budget yakitori chain,"Kanto, Kansai, Kyushu","Thailand, Taiwan","Tokyo, Japan"
Hokkaido Biei Okamura Farm,Dessert Soft Serve,50+,20+,150k-300k,50000,5.0,SE Asia China,okamura-farm.co.jp,PROBABLE,Single-unit,Lavender soft serve concept,"Hokkaido, Kanto","Thailand, China","Hokkaido, Japan"
